Subplot number,Tag,Species,DBH,Quadrant,subqu,Lianas,Illumination,Nota,,,
36,166107,Trichilia tuberculata,268,1907,22,10,0,,,,
64,104880,Trichilia tuberculata,435,3124,42,10,100,,,,
65,92568,Trichilia tuberculata,228,3312,44,10,5,,,,
49,4525,Virola sebifera,298,2316,33,10,5,,,,
28,5891,Alseis blackiana,438,1504,43,15,25,,,,
68,93143,Guarea guidonia,266,3315,21,15,10,,,,
74,1982,Heisteria concinna,293,3810,23,15,40,,,,
90,31384,Hirtella triandra,265,4507,22,15,5,,,,
8,242339,Inga sapindoides,255,412,11,15,90,,,,
91,675,Poulsenia armata,285,4521,22,15,5,,,,
11,706056,Pourouma bicolor,209,606,44,15,100,,,,
5,252102,Swartzia simplex,229,211,22,15,5,,,,
68,87763,Beilschmiedia pendula,232,3415,43,20,90,,,,
1,8520,Chrysophyllum argenteum,305,21,24,20,50,,,,
74,66983,Drypetes standleyi,212,3810,32,20,5,,,,
64,104598,Eugenia oerstediana,263,3123,22,20,100,,,,
72,2500,Guapira standleyana,778,3513,43,20,100,,,,
77,1715,Guarea guidonia,338,4020,34,20,25,,,,
64,3116,Guazuma ulmifolia,522,3223,43,20,100,,,,
64,3123,Gustavia superba,262,3224,23,20,5,,,,
65,97348,Hirtella triandra,247,3212,23,20,100,,,,
47,150473,Poulsenia armata,475,2202,41,20,100,,,,
94,28494,Poulsenia armata,470,4617,42,20,100,,,,
19,6714,Pouteria reticulata,310,1008,12,20,80,,,,
24,192165,Pouteria reticulata,234,1411,44,20,0,,,,
23,5953,Prioria copaifera,919,1405,23,20,100,,,,
36,5215,Prioria copaifera,1230,1908,22,20,100,,,,
23,190925,Protium tenuifolium,286,1404,32,20,0,,,,
36,5317,Quararibea asterolepis,294,1807,24,20,5,,,,
8,236900,Simarouba amara,263,511,22,20,25,,,,
36,5322,Tetragastris panamensis,477,1808,11,20,90,,,,
92,444,Tetragastris panamensis,431,4704,22,20,80,,,,
47,4604,Trichilia tuberculata,296,2303,22,20,10,,,,
49,4726,Trichilia tuberculata,495,2216,23,20,100,,,,
74,2170,Trichilia tuberculata,610,3711,23,20,100,,,,
68,87425,Virola sebifera,200,3414,13,20,90,,,,
69,87943,Alchornea costaricensis,320,3416,41,25,100,,,,
64,104741,Alseis blackiana,287,3124,12,25,20,,,,
68,2681,Alseis blackiana,505,3414,24,25,100,,,,
72,2342,Alseis blackiana,615,3613,33,25,100,,,,
92,446,Garcinia intermedia,240,4704,31,25,0,,,,
68,92951,Guarea guidonia,209,3314,21,25,100,,,,
1,263687,Guatteria dumetorum,225,21,32,25,95,,,,
11,230878,Guatteria dumetorum,332,605,23,25,75,,,,
36,5324,Heisteria concinna,283,1808,34,25,100,,,,
74,67050,Heisteria concinna,200,3810,41,25,0,,,,
49,4527,Hirtella triandra,293,2316,21,25,50,,,,
72,2331,Hirtella triandra,248,3612,33,25,100,,,,
14,7386,Jacaranda copaia,639,612,22,25,100,,,,
69,435304,Miconia argentea,216,3516,22,25,95,,,,
31,176101,Pouteria reticulata,273,1707,13,25,50,,,,
36,5319,Prioria copaifera,676,1808,42,25,50,,,,
90,31454,Protium tenuifolium,287,4507,41,25,85,,,,
15,7440,Tabernaemontana arborea,453,619,23,25,5,,,,
36,5223,Tetragastris panamensis,770,1907,31,25,100,,,,
40,4979,Trichilia tuberculata,249,2003,32,25,0,,,,
64,99708,Trichilia tuberculata,241,3224,14,25,10,,,,
77,63940,Trichilia tuberculata,393,3920,23,25,100,,,,
90,795,Trichilia tuberculata,330,4506,23,25,0,,,,
18,213914,Virola sebifera,242,1019,32,25,95,,,,
64,99474,Alseis blackiana,238,3223,13,30,0,,,,
51,4350,Prioria copaifera,947,2408,11,30,100,,,,
68,2685,Gustavia superba,399,3415,21,35,95,,,,
8,242231,Prioria copaifera,204,411,21,40,5,,,,
47,4648,Prioria copaifera,505,2202,32,40,20,,,,
19,206412,Tachigali versicolor,296,1108,21,40,100,,,,
64,104815,Gustavia superba,202,3124,21,45,100,,,,
14,227348,Simarouba amara,528,713,44,45,100,,,,
65,92228,Trichilia tuberculata,227,3311,13,45,100,,,,
64,3134,Alseis blackiana,293,3124,24,50,5,,,,
64,99532,Alseis blackiana,371,3223,21,50,100,,,,
19,206382,Apeiba membranacea,237,1108,24,50,100,,,,
65,2861,Apeiba membranacea,649,3311,13,50,100,,,,
1,8205,Aspidosperma spruceanum,659,121,24,50,100,,,,
14,227168,Cordia bicolor,244,712,41,50,100,,,,
23,5950,Guapira standleyana,289,1404,34,50,5,,,,
94,23250,Guarea guidonia,329,4717,24,50,100,,,,
64,99449,Gustavia superba,215,3223,34,50,40,,,,
31,5648,Heisteria concinna,277,1607,12,50,50,,,,
65,2858,Ormosia macrocalyx,765,3312,42,50,100,,,,
68,87545,Pouteria reticulata,249,3414,34,50,100,,,,
40,4980,Prioria copaifera,478,2003,22,50,100,,,,
49,152470,Protium tenuifolium,249,2216,41,50,50,,,,
23,5945,Quararibea asterolepis,626,1404,13,50,100,,,,
65,92320,Quararibea asterolepis,432,3311,33,50,80,,,,
82,1072,Quararibea asterolepis,420,4315,42,50,90,,,,
94,28236,Quararibea asterolepis,352,4617,13,50,100,,,,
11,231110,Swartzia simplex,218,606,41,50,50,,,,
20,6758,Tabernaemontana arborea,618,1015,14,50,100,,,,
18,214063,Tachigali versicolor,342,1020,22,50,100,,,,
23,197245,Tetragastris panamensis,272,1304,43,50,25,,,,
69,2463,Trichilia tuberculata,383,3517,14,50,100,,,,
69,2470,Alseis blackiana,382,3516,24,55,100,,,,
14,7234,Astronium graveolens,476,712,33,60,100,,,,
20,213097,Guarea guidonia,247,1015,43,60,5,broken crown,,,
68,2842,Trichilia tuberculata,262,3314,42,60,100,,,,
74,2177,Alseis blackiana,295,3710,32,65,5,,,,
90,789,Ficus obtusifolia,1948,4506,14,70,100,,,,
82,1073,Guarea guidonia,346,4315,41,70,5,,,,
14,7390,Tabernaemontana arborea,500,612,42,70,100,,,,
92,20843,Tachigali versicolor,375,4705,32,70,100,,,,
77,58410,Trichilia tuberculata,226,4020,44,70,100,,,,
31,5540,Alseis blackiana,492,1708,42,75,0,,,,
49,147565,Casearia sylvestris,213,2316,14,75,5,,,,
31,176143,Chrysophyllum argenteum,298,1707,23,75,100,,,,
20,6749,Dendropanax arboreus,231,1014,34,75,5,,,,
5,252111,Prioria copaifera,315,211,21,75,90,,,,
11,235889,Quararibea asterolepis,226,505,24,75,90,,,,
28,5634,Swartzia simplex,263,1604,43,75,5,,,,
19,211196,Trichilia tuberculata,232,1007,11,75,5,,,,
14,227004,Virola sebifera,239,712,14,75,50,,,,
59,3560,Virola sebifera,324,2912,41,75,100,,,,
90,26173,Virola sebifera,338,4606,24,75,100,,,,
51,146653,Allophylus psilospermus,223,2309,21,80,10,,,,
68,2680,Alseis blackiana,358,3414,23,80,100,,,,
77,440922,Cecropia insignis,328,4020,23,80,100,,,,
82,1071,Drypetes standleyi,416,4315,24,80,100,,,,
31,5541,Eugenia nesiotica,323,1708,11,80,5,,,,
14,7231,Guapira standleyana,484,712,23,80,100,,,,
23,6226,Guarea guidonia,228,1304,11,80,100,,,,
59,3557,Guazuma ulmifolia,585,2912,24,80,25,,,,
64,99448,Gustavia superba,222,3223,34,80,5,,,,
72,2499,Gustavia superba,290,3513,23,80,100,,,,
40,155646,Jacaranda copaia,375,2104,42,80,100,,,,
47,4602,Ocotea whitei,593,2303,23,80,100,,,,
15,272595,Platymiscium pinnatum,218,719,41,80,50,,,,
23,5943,Prioria copaifera,1043,1404,31,80,100,,,,
68,93156,Prioria copaifera,350,3315,31,80,70,,,,
51,146465,Quararibea asterolepis,310,2308,34,80,100,,,,
59,3738,Quararibea asterolepis,758,2813,42,80,100,,,,
15,7446,Trichilia tuberculata,312,620,21,80,100,,,,
59,117371,Trichilia tuberculata,237,2813,41,80,100,,,,
90,790,Trichilia tuberculata,295,4506,34,80,5,,,,
49,147639,Heisteria concinna,205,2316,32,85,50,,,,
74,1985,Quararibea asterolepis,435,3810,32,85,100,,,,
82,17999,Trichilia tuberculata,245,4214,34,85,5,,,,
65,2862,Adelia triloba,328,3311,13,90,10,sub correcte: 1,,,
64,99837,Alseis blackiana,345,3224,42,90,100,,,,
64,3135,Alseis blackiana,403,3124,14,90,100,,,,
49,4735,Chrysophyllum cainito,569,2217,13,90,100,,,,
1,400820,Cordia bicolor,248,21,21,90,95,,,,
51,146461,Eugenia oerstediana,306,2308,34,90,90,,,,
59,3727,Garcinia intermedia,241,2812,24,90,5,,,,
65,92240,Guapira standleyana,249,3311,14,90,60,,,,
68,2835,Gustavia superba,285,3315,14,90,25,,,,
5,7891,Heisteria concinna,221,312,33,90,25,,,,
82,42250,Poulsenia armata,232,4314,13,90,5,,,,
5,703146,Pourouma bicolor,211,311,24,90,100,,,,
8,7554,Prioria copaifera,792,511,44,90,100,,,,
11,7594,Prioria copaifera,661,506,44,90,100,,,,
90,26184,Prioria copaifera,241,4606,22,90,100,,,,
91,29289,Protium panamense,214,4621,34,90,25,,,,
51,141879,Quararibea asterolepis,286,2409,31,90,80,,,,
59,3744,Quararibea asterolepis,345,2813,21,90,100,,,,
18,218882,Simarouba amara,202,920,44,90,100,,,,
5,252055,Tabernaemontana arborea,223,211,11,90,100,,,,
36,5323,Trichilia tuberculata,376,1808,13,90,80,,,,
64,99567,Trichilia tuberculata,237,3223,33,90,95,,,,
92,508,Trichilia tuberculata,383,4604,22,90,5,,,,
18,6844,Alseis blackiana,327,920,13,95,100,,,,
64,3130,Alseis blackiana,335,3224,41,95,100,,,,
68,2846,Apeiba membranacea,478,3314,34,95,100,,,,
94,596,Chrysophyllum argenteum,248,4617,43,95,5,,,,
23,197229,Eugenia oerstediana,335,1304,34,95,100,,,,
69,2697,Gustavia superba,255,3417,32,95,100,,,,
90,792,Heisteria concinna,240,4506,44,95,0,,,,
72,82087,Lacmellea panamensis,254,3512,31,95,100,,,,
92,25783,Lacmellea panamensis,243,4604,14,95,75,,,,
14,7226,Protium tenuifolium,520,713,11,95,50,,,,
65,97438,Tachigali versicolor,229,3212,34,95,100,,,,
90,524,Tetragastris panamensis,397,4606,22,95,100,,,,
1,263675,Virola sebifera,252,21,31,95,90,,,,
28,5883,Alchornea costaricensis,212,1505,44,100,50,,,,
28,5883,Alchornea costaricensis,275,1505,44,100,0,,,,
23,197345,Allophylus psilospermus,221,1305,23,100,0,fallen tree,,,
1,8215,Alseis blackiana,319,120,31,100,100,,,,
5,8076,Alseis blackiana,425,212,11,100,100,,,,
8,242466,Alseis blackiana,242,412,31,100,100,,,,
8,7548,Alseis blackiana,410,512,44,100,100,,,,
14,232052,Alseis blackiana,263,612,12,100,90,,,,
14,7227,Alseis blackiana,410,713,11,100,50,,,,
19,6554,Alseis blackiana,305,1108,14,100,95,,,,
19,6707,Alseis blackiana,387,1007,11,100,90,,,,
20,213039,Alseis blackiana,315,1015,33,100,100,,,,
31,181579,Alseis blackiana,200,1608,12,100,50,,,,
31,181662,Alseis blackiana,278,1608,32,100,50,,,,
36,5316,Alseis blackiana,437,1807,13,100,100,broken crown,,,
40,160825,Alseis blackiana,244,2004,44,100,5,,,,
40,4984,Alseis blackiana,380,2004,21,100,100,,,,
59,3551,Alseis blackiana,362,2913,14,100,100,,,,
64,104704,Alseis blackiana,204,3123,42,100,100,,,,
64,3110,Alseis blackiana,222,3223,41,100,100,,,,
64,104870,Alseis blackiana,307,3124,43,100,70,,,,
64,3115,Alseis blackiana,367,3223,43,100,100,,,,
64,3120,Alseis blackiana,387,3224,11,100,95,,,,
64,3145,Alseis blackiana,410,3123,44,100,100,,,,
69,88029,Alseis blackiana,209,3417,22,100,100,,,,
72,82091,Alseis blackiana,240,3512,31,100,100,,,,
83,873,Alseis blackiana,643,4407,11,100,100,,,,
1,8213,Apeiba membranacea,362,120,23,100,100,,,,
5,247380,Apeiba membranacea,308,312,31,100,100,,,,
15,7174,Apeiba membranacea,354,720,42,100,25,broken crown,,,
28,180862,Apeiba membranacea,304,1604,24,100,100,,,,
64,3141,Apeiba membranacea,787,3123,14,100,90,,,,
69,82615,Apeiba membranacea,271,3516,14,100,100,broken crown,,,
83,1135,Apeiba membranacea,730,4306,42,100,100,,,,
92,20851,Apeiba membranacea,229,4705,33,100,0,,,,
11,231066,Astronium graveolens,312,606,44,100,100,broken crown,,,
15,228589,Beilschmiedia pendula,200,720,13,100,95,,,,
18,6857,Beilschmiedia pendula,355,919,41,100,100,,,,
91,681,Beilschmiedia pendula,448,4520,42,100,100,,,,
18,6847,Chrysophyllum argenteum,322,920,42,100,100,,,,
23,6227,Chrysophyllum argenteum,280,1304,12,100,80,,,,
49,189893,Chrysophyllum argenteum,221,2316,41,100,100,,,,
1,8216,Cordia bicolor,344,120,41,100,5,broken crown,,,
5,252149,Cordia bicolor,272,211,33,100,5,,,,
5,8065,Cordia bicolor,305,211,23,100,100,,,,
15,7175,Cordia bicolor,332,720,41,100,100,,,,
20,207939,Cordia bicolor,228,1115,44,100,100,,,,
28,401981,Cordia bicolor,307,1605,32,100,100,,,,
92,25996,Drypetes standleyi,262,4605,24,100,100,,,,
36,5222,Eugenia nesiotica,292,1907,41,100,100,broken crown,,,
40,4929,Guapira standleyana,404,2004,42,100,100,,,,
14,227197,Guarea grandifolia,433,713,13,100,80,,,,
18,6843,Guarea guidonia,266,920,24,100,95,,,,
68,2839,Guarea guidonia,277,3314,12,100,95,,,,
69,87825,Guarea guidonia,220,3416,13,100,100,,,,
69,2690,Guarea guidonia,313,3416,44,100,100,broken crown,,,
36,171070,Gustavia superba,212,1807,31,100,50,,,,
64,104694,Gustavia superba,223,3123,43,100,100,,,,
68,2841,Gustavia superba,318,3314,22,100,100,,,,
69,2693,Gustavia superba,271,3417,12,100,100,,,,
72,2502,Gustavia superba,343,3512,23,100,100,,,,
20,6523,Hirtella triandra,280,1115,34,100,100,,,,
49,4516,Hirtella triandra,301,2317,34,100,100,,,,
59,112501,Hirtella triandra,206,2913,13,100,90,,,,
59,117329,Hirtella triandra,250,2813,34,100,100,,,,
23,191106,Hura crepitans,307,1405,44,100,100,broken crown,,,
68,2838,Hura crepitans,595,3314,13,100,100,,,,
92,522,Hura crepitans,404,4605,21,100,100,,,,
92,439,Hura crepitans,682,4705,31,100,100,,,,
92,507,Hura crepitans,738,4604,44,100,60,,,,
8,405275,Inga marginata,325,512,13,100,85,,,,
69,434238,Inga punctata,298,3417,11,100,100,,,,
5,502291,Jacaranda copaia,223,211,34,100,100,,,,
15,228686,Jacaranda copaia,328,720,33,100,100,broken crown,,,
15,228747,Jacaranda copaia,380,720,43,100,25,broken crown,,,
92,520,Luehea seemannii,810,4605,32,100,100,,,,
83,40963,Nectandra cissiflora,277,4306,11,100,100,,,,
5,703223,Ocotea oblonga,278,312,32,100,95,,,,
36,5225,Platymiscium pinnatum,283,1907,31,100,0,,,,
18,218680,Pouteria reticulata,208,919,42,100,100,,,,
20,207820,Pouteria reticulata,308,1115,22,100,100,,,,
31,5542,Pouteria reticulata,574,1707,24,100,100,,,,
92,25960,Pouteria reticulata,269,4605,12,100,100,,,,
28,180965,Pouteria stipitata,241,1604,44,100,100,,,,
19,206247,Prioria copaifera,399,1107,33,100,95,,,,
24,192034,Prioria copaifera,254,1411,13,100,100,,,,
31,181632,Prioria copaifera,221,1608,22,100,45,,,,
31,5537,Prioria copaifera,412,1708,44,100,20,,,,
69,2471,Prioria copaifera,1097,3516,32,100,100,,,,
20,207942,Protium tenuifolium,252,1115,44,100,100,broken crown,,,
49,4731,Protium tenuifolium,259,2216,11,100,95,,,,
68,2840,Psidium friedrichsthalianum,230,3314,11,100,100,,,,
5,8067,Quararibea asterolepis,215,211,24,100,100,broken crown,,,
5,8062,Quararibea asterolepis,340,211,32,100,100,,,,
14,7397,Quararibea asterolepis,331,613,14,100,100,,,,
18,6848,Quararibea asterolepis,309,920,31,100,100,,,,
23,197469,Quararibea asterolepis,281,1305,41,100,100,,,,
28,5636,Quararibea asterolepis,393,1604,14,100,100,,,,
51,4352,Quararibea asterolepis,487,2408,42,100,100,broken crown,,,
64,104535,Quararibea asterolepis,205,3123,12,100,100,,,,
77,56933,Quararibea asterolepis,268,4020,11,100,100,,,,
8,242506,Sapium glandulosum,220,412,34,100,95,,,,
92,449,Spondias radlkoferi,595,4704,43,100,100,,,,
14,7235,Swartzia simplex,238,712,24,100,25,,,,
36,171240,Swartzia simplex,213,1808,23,100,10,,,,
58,116119,Swartzia simplex,205,2806,42,100,100,,,,
5,267283,Tabebuia guayacan,224,212,13,100,5,,,,
14,7396,Tabernaemontana arborea,383,613,13,100,100,,,,
15,7177,Tabernaemontana arborea,420,720,31,100,95,,,,
18,6789,Tabernaemontana arborea,522,1020,14,100,100,,,,
20,207921,Tabernaemontana arborea,218,1115,33,100,100,,,,
15,228557,Tachigali versicolor,445,719,41,100,95,,,,
23,197266,Tachigali versicolor,330,1304,42,100,100,,,,
24,198411,Tachigali versicolor,210,1310,31,100,100,,,,
59,112468,Tachigali versicolor,214,2912,14,100,85,,,,
64,104784,Tachigali versicolor,485,3124,23,100,100,,,,
14,7401,Tetragastris panamensis,263,613,32,100,95,,,,
15,228511,Tetragastris panamensis,440,719,32,100,95,,,,
24,6185,Tetragastris panamensis,468,1311,22,100,85,,,,
31,5538,Tetragastris panamensis,556,1708,43,100,100,,,,
83,41072,Tetragastris panamensis,228,4306,21,100,100,,,,
90,526,Tetragastris panamensis,359,4606,32,100,100,,,,
1,8517,Trichilia tuberculata,422,21,43,100,95,,,,
5,7889,Trichilia tuberculata,409,312,24,100,100,,,,
15,233449,Trichilia tuberculata,290,619,33,100,95,,,,
18,213885,Trichilia tuberculata,215,1019,21,100,100,,,,
18,218826,Trichilia tuberculata,337,920,32,100,100,,,,
31,181738,Trichilia tuberculata,483,1608,42,100,100,,,,
36,5224,Trichilia tuberculata,292,1907,31,100,25,sub:correcto(1,,,
36,5216,Trichilia tuberculata,345,1908,23,100,5,,,,
40,160706,Trichilia tuberculata,307,2004,11,100,95,,,,
40,4978,Trichilia tuberculata,408,2003,21,100,100,,,,
64,104768,Trichilia tuberculata,252,3124,14,100,75,,,,
64,99598,Trichilia tuberculata,312,3223,44,100,100,,,,
64,99492,Trichilia tuberculata,335,3223,24,100,100,,,,
28,181039,Triplaris cumingiana,200,1605,14,100,100,broken crown,,,
65,92300,Triplaris cumingiana,282,3311,32,100,0,,,,
65,92317,Triplaris cumingiana,299,3311,33,100,100,,,,
69,87981,Triplaris cumingiana,260,3417,14,100,60,broken crown,,,
69,2472,Triplaris cumingiana,266,3516,11,100,5,broken crown,,,
1,258611,Virola sebifera,229,120,31,100,50,,,,
8,242362,Virola sebifera,223,412,12,100,100,,,,
15,233543,Virola sebifera,275,620,14,100,80,,,,
64,99804,Virola sebifera,242,3224,34,100,75,,,,
74,72126,Virola sebifera,212,3711,24,100,5,,,,
90,31251,Virola sebifera,205,4506,33,100,5,,,,
91,626,Virola sebifera,317,4621,32,100,100,,,,
28,5894,Virola surinamensis,457,1504,41,100,100,,,,
65,2867,Xylopia macrantha,302,3311,32,100,75,,,,418
68,633201,Zanthoxylum ekmanii,288,3315,32,100,100,,,,0.538659794
28,515072,Zanthoxylum panamense,325,1505,23,100,100,,,,222
31,416186,Zanthoxylum panamense,298,1607,11,100,100,,,,0.286082474
