"tag","dbh","lianaLoad","species","subplot","ptQuality","totVol","totVolSD","totArea","totAreaSD","trunkArea","trunkAreaSD","trunkVol","trunkVolSD","branchVol12","branchVol12SD","branchArea12","branchArea12SD","branchLen12","branchLen12SD","branchNo12","branchNo12SD"
5631,63.3,0,"Guatteria dumetorum",28,"ok",3966.46,252.61,62.75,2.03,33.56,0.49,3317.62,258.11,648.84,50.89,29.19,1.92,118.07,8.58,46,5
5633,46.8,0,"Platymiscium pinnatum",28,"ok",4427.95,847.24,79.45,11.18,28.97,2.37,2807.06,379.15,1620.89,578.61,50.48,10.03,168.23,34.5,67,22
5636,39.3,100,"Quararibea asterolepis",28,"ok",1494.36,71.61,41.12,3.41,15.59,0.47,948.63,22.9,545.73,60.56,25.54,3.17,117.14,17.66,60,10
5885,68.8,0,"Jacaranda copaia",28,"ok",6543.08,297.09,73.7,4.93,44.12,1.42,5784.67,169.2,758.42,148.86,29.58,3.87,115.9,10.36,49,4
5891,43.8,15,"Alseis blackiana",28,"ok",2240.92,75.02,62.84,3.65,19.08,0.28,1419.71,13.06,821.21,71.14,43.76,3.56,216.11,18.84,124,11
5892,51.9,5,"Tabernaemontana arborea",28,"ok",3538.41,112.87,103.96,4.77,19.61,0.39,1860.53,16.57,1677.88,107.21,84.36,4.79,391.25,22.14,224,24
5894,45.7,100,"Virola surinamensis",28,"ok",2585.43,115.52,51.76,2.23,22.93,0.31,2070.67,113.74,514.76,43.02,28.82,2.22,151.99,12.77,124,12
5895,39.3,5,"Alseis blackiana",28,"ok",2911.01,465.05,81.29,2.32,19.6,0.48,1283.5,24.04,1627.51,453.96,61.69,2.17,242.18,8.28,103,6
5896,72,0,"Quararibea asterolepis",28,"ok",3713.61,68.37,55.55,2.95,28.53,0.36,3196.72,31.03,516.89,66.62,27.02,2.95,134.27,13.93,73,7
5943,104.3,80,"Prioria copaifera",23,"ok",14171.72,861.69,116.22,8.43,63.55,3.92,12177.28,891.56,1994.44,317.44,52.66,8.4,160.29,28.85,77,13
5945,62.6,50,"Quararibea asterolepis",23,"ok",4676.97,189.09,81.52,9.54,31.08,1.8,3523.95,208.73,1153.02,223,50.44,9.82,226.07,48.63,120,34
5949,44.5,0,"Pouteria reticulata",23,"ok",3248.04,90.64,64.38,2.95,27.5,0.57,2394.03,41,854.02,66.61,36.89,2.57,154.61,12.66,77,4
5953,91.9,20,"Prioria copaifera",23,"ok",10310.7,516.17,141.92,8.47,49.93,3.05,8137.33,371.6,2173.38,223.73,91.99,6.92,393.75,29.66,179,15
5986,41,0,"Tabernaemontana arborea",24,"ok",3290.77,71.64,104.09,2.83,19.97,0.25,1591.33,10.29,1699.44,63.32,84.12,2.71,390.56,12.5,228,11
5987,50,0,"Tetragastris panamensis",24,"ok",4217.11,58.3,82.6,1.66,27.17,0.49,2709.68,21.46,1507.43,54.87,55.43,1.69,206.29,8.44,96,6
5988,60.9,0,"Platymiscium pinnatum",24,"ok",7370.84,205.17,98.43,6.28,42.59,1.6,4897.48,261.29,2473.36,307.29,55.84,6.38,133.03,21.89,45,11
5993,69.5,10,"Prioria copaifera",24,"ok",6729.8,147.22,101.18,4.54,37.66,1.04,5289.7,168.44,1440.1,112.41,63.52,4.6,257.32,17.76,132,9
6185,46.8,100,"Tetragastris panamensis",24,"ok",2702.89,33.02,38.81,0.68,23.89,0.33,2357.91,18.63,344.98,21.95,14.92,0.59,58.93,2.75,37,4
6186,36.9,0,"Tetragastris panamensis",24,"ok",2376.2,58.79,58.7,2.22,18.94,0.57,1503.23,31.04,872.97,41.7,39.76,1.93,167.3,8.52,100,9
6189,38,0,"Tabernaemontana arborea",24,"ok",2015.56,53.51,50.45,1.86,15.91,0.23,1206.98,17.57,808.58,52.79,34.54,1.87,140.63,7.89,92,10
6190,57.8,5,"Tetragastris panamensis",24,"ok",5960.36,86.39,119.15,3.24,30.57,0.38,3456.43,35.23,2503.93,80.53,88.57,3.09,313.46,14.67,160,16
6561,42,0,"Alseis blackiana",19,"ok",2527.57,58.73,62.6,2.31,20.65,0.26,1633.14,13.61,894.44,56,41.94,2.28,180.28,10.74,78,9
6712,56.6,0,"Quararibea asterolepis",19,"ok",4095.14,156.31,71.47,6.39,30.42,0.75,3127.9,66.09,967.24,119.26,41.05,6.03,170.43,28.93,66,14
6744,42.5,0,"Trichilia tuberculata",20,"ok",3082.02,562.23,82.48,3.73,22.49,0.38,1525.92,474.21,1556.1,145.28,59.99,3.81,243.85,17.12,116,14
6745,71.5,0,"Alseis blackiana",20,"ok",5058.48,130.7,110.55,4.11,31.13,0.43,3243.03,57.12,1815.45,92.83,79.42,4,353.09,22.15,173,15
6747,63.5,0,"Simarouba amara",20,"ok",6185.9,259.76,106.37,6.24,35.28,0.4,4244.25,148.76,1941.65,149.09,71.09,6.07,280.29,25.76,144,11
6752,58.3,0,"Quararibea asterolepis",20,"ok",5527.18,155.75,92.51,5.57,35.24,0.39,4120.18,38.02,1407,161.21,57.27,5.65,246.8,22.93,146,10
6755,39.6,0,"Trichilia tuberculata",20,"ok",2100.56,154.02,52.84,3.48,21.81,0.37,1437.22,137.25,663.35,65.17,31.03,3.48,144.66,18.46,66,11
