"tag","dbh","lianaLoad","species","subplot","ptQuality","totVol","totVolSD","totArea","totAreaSD","trunkArea","trunkAreaSD","trunkVol","trunkVolSD","branchVol12","branchVol12SD","branchArea12","branchArea12SD","branchLen12","branchLen12SD","branchNo12","branchNo12SD"
1783,49.6,0,"Trichilia tuberculata",77,"ok",3436.21,339.17,86.83,3.05,21.51,0.15,1761,348.6,1675.21,61.06,65.31,3.01,261.84,13.47,122,10
1979,54,0,"Quararibea asterolepis",74,"ok",4039.72,206.75,68.83,5.19,30.18,0.54,3101.22,116.85,938.49,141.73,38.65,5.07,150.69,20.09,66,12
1983,44,0,"Quararibea asterolepis",74,"ok",2351.88,95.32,50.33,2.59,19.82,0.56,1735.86,55.07,616.01,52.55,30.51,2.35,149.05,10.83,126,12
1985,43.5,85,"Quararibea asterolepis",74,"ok",2456.41,363.67,43.08,4.14,20.81,0.82,1719.38,62.96,737.02,391.93,22.28,3.92,87.83,18.92,54,18
2170,61,20,"Trichilia tuberculata",74,"ok",5256.18,534.18,82.67,5.46,34.37,0.89,3668.26,490.6,1587.93,202.64,48.31,5.7,173.7,29.25,84,14
2173,68.5,0,"Brosimum alicastrum",74,"ok",9405.46,152.02,157.42,3.56,43.72,0.39,5917.52,51.18,3487.93,147.52,113.7,3.74,393.68,15.5,115,8
2178,105.9,0,"Aspidosperma spruceanum",74,"ok",18110.05,1154.17,174.62,15.01,72.61,5.52,14051.32,971.54,4058.73,606.46,102.01,12.66,289.1,37,97,12
2326,59.2,0,"Alseis blackiana",72,"ok",3962.03,378.46,69.37,6.24,27.6,2.05,2927.84,282.6,1034.19,169.88,41.77,5.04,175.33,14.68,84,8
2337,50.8,0,"Quararibea asterolepis",72,"ok",2267.18,207.35,50.85,4.16,21.27,0.52,1699.46,171.59,567.72,82.92,29.58,4.31,141.95,20.68,89,7
2467,52,0,"Alseis blackiana",69,"ok",3152.08,104.4,78.65,6.04,21.7,0.32,1768.49,29.45,1383.58,87.58,56.95,5.91,238.32,35.31,92,25
2470,38.2,55,"Alseis blackiana",69,"ok",1826.05,124.66,49.58,4.41,15.15,0.65,1031.94,46.58,794.11,89.12,34.43,3.93,149.52,14.93,86,10
2471,109.7,100,"Prioria copaifera",69,"ok",21162.15,991.6,212.8,13.06,75.65,4.72,15301.98,859.08,5860.17,907.94,137.15,13.66,406.43,27.63,180,15
2475,38.8,0,"Trichilia tuberculata",69,"ok",2504.01,57.69,77.4,3.4,20.38,0.3,1467.41,30.07,1036.59,69.28,57.01,3.61,285.27,19.75,144,16
2496,51.5,0,"Beilschmiedia pendula",72,"ok",3839.93,230.68,72.2,5.41,26.8,0.44,2636.72,113.63,1203.21,185.49,45.39,5.52,170.96,18.64,85,14
2500,77.8,20,"Guapira standleyana",72,"ok",7772.51,289.78,114.36,8.02,43.83,2.13,6070.76,312.49,1701.76,222.61,70.53,7.72,286.05,33.61,130,19
2681,50.5,25,"Alseis blackiana",68,"ok",2381.07,49.96,80.94,3.1,15.48,0.19,1226.83,6.42,1154.24,47.25,65.46,3.06,338.2,17.19,140,12
2683,41.5,0,"Trichilia tuberculata",68,"ok",3204.56,60.41,79.02,2.05,21.84,0.15,1832.29,7.43,1372.27,62.26,57.19,2.14,236.92,8.64,131,5
2685,39.9,35,"Gustavia superba",68,"ok",2105.96,37.04,53.51,2.54,15.84,1.08,1298.08,98.48,807.89,111.95,37.67,3.35,179.3,13.43,98,9
2838,59.5,100,"Hura crepitans",68,"ok",3235.68,507.59,55.92,2.82,25.26,0.65,2326.11,458.84,909.56,89.39,30.66,2.74,119.15,11.17,48,7
2846,47.8,95,"Apeiba membranacea",68,"ok",2264.34,70.65,43.69,1.57,20.13,0.63,1733.07,50.41,531.27,38.11,23.56,1.33,105.25,7.81,61,5
2854,62.5,0,"Dipteryx oleifera",65,"ok",6975.49,126.35,120.55,5.6,42.03,0.39,5155.41,41.57,1820.07,133.15,78.52,5.62,348.98,27.36,146,14
2858,76.5,50,"Ormosia macrocalyx",65,"ok",8918.57,171.88,86.08,4.67,51.8,0.99,7876.21,119.05,1042.36,101.63,34.27,4.01,126.5,19.22,56,8
2861,64.9,50,"Apeiba membranacea",65,"ok",4134.44,113.08,69.98,6.18,28.29,0.94,3291.5,71.02,842.94,98.51,41.69,5.99,209.85,34.89,120,28
3028,40.3,0,"Luehea seemannii",65,"ok",1480.27,37.66,45.98,2.15,16.07,0.09,984.72,8.04,495.55,39.06,29.91,2.14,174.73,13.05,130,9
3031,66.2,0,"Cavanillesia platanifolia",65,"ok",4423.18,153.27,63.05,1.65,35.77,0.37,4003.76,149.65,419.41,23.7,27.28,1.39,164.4,9.06,104,9
3115,36.7,100,"Alseis blackiana",64,"ok",1597.99,30.82,42.56,1.11,16.55,0.18,1115.59,7.05,482.41,29.24,26.01,1.11,129.63,4.76,61,4
3120,38.7,100,"Alseis blackiana",64,"ok",1822.17,337.61,46.85,2.59,16.72,0.46,1063.1,329.64,759.08,41.62,30.13,2.2,123.05,12.64,50,9
3122,54.2,0,"Ormosia coccinea",64,"ok",4672.24,780.22,80.2,2.6,34.71,1.38,3350.65,741.58,1321.59,114.87,45.5,2.88,163.54,12.54,49,5
3124,75.5,0,"Pseudobombax septenatum",64,"ok",10028.27,318.58,102.18,6.98,53.88,1.32,8759.71,162.09,1268.56,390.74,48.3,7.26,197.67,15.83,66,9
3130,33.5,95,"Alseis blackiana",64,"ok",1250.67,122.31,32.09,1.12,15.32,0.13,888.94,103.43,361.73,30.97,16.76,1.09,72.77,5.03,37,6
3135,40.3,90,"Alseis blackiana",64,"ok",1524.74,17.4,33.05,0.61,16.22,0.25,1122.29,9,402.45,13.12,16.83,0.48,70.49,2.54,34,4
3141,78.7,100,"Apeiba membranacea",64,"ok",3821.42,152.56,46.18,2.37,27.24,0.95,3200.9,107.33,620.53,77.81,18.94,2.1,75.59,10.01,45,7
3145,41,100,"Alseis blackiana",64,"ok",1425.8,33.42,33.53,0.8,12.03,0.76,804,51.5,621.8,35.16,21.5,0.75,77.42,2.75,32,2
3554,47,0,"Alseis blackiana",59,"ok",2800.35,197.93,58.42,3.94,17.85,0.75,1462.07,52.77,1338.28,189.9,40.57,4.06,148.97,22.94,84,8
3557,58.5,80,"Guazuma ulmifolia",59,"ok",3662.06,126.33,82.79,6.13,21.37,0.93,1928.32,66.45,1733.74,69.15,61.43,5.28,248.18,31.2,118,19
3562,55,0,"Jacaranda copaia",59,"ok",4030.84,427.05,65.69,5.16,32.55,0.83,3261.37,447.6,769.47,133.25,33.14,5.32,136.12,23.49,57,12
3600,46.2,0,"Alseis blackiana",58,"ok",3464.79,62.46,89.78,3.42,25.34,0.31,2053.32,17.76,1411.47,62.89,64.44,3.44,288.94,16.92,130,12
3602,47.3,0,"Alseis blackiana",58,"ok",3246.32,107.12,98.8,6.12,24.05,0.24,1920.11,14.13,1326.2,96.38,74.76,5.97,390.39,32.96,171,17
3603,132.5,0,"Cavanillesia platanifolia",58,"ok",33388.76,1668.27,218.19,21.2,111.69,8.2,29172.02,1476.14,4216.74,624.85,106.5,15.36,348.72,64.88,174,34
3608,145.3,0,"Ceiba pentandra",58,"ok",49900.92,4068.07,266.73,14.77,141.07,9.74,43564.74,4000.84,6336.19,580.07,125.65,8.75,309.8,25.06,138,15
