"tag","dbh","lianaLoad","species","subplot","ptQuality","totVol","totArea","trunkArea","trunkVol","branchVol12","branchArea12","branchLen12","branchNo12"
365,40,0,"Guarea guidonia",94,"ok",2981.6587,77.48067,22.30009,1842.6635,1138.9952,55.18058,271.2212,140
365,40,0,"Guarea guidonia",94,"ok",2946.8232,75.283554,21.991014,1820.362,1126.4612,53.292538,257.56195,151
365,40,0,"Guarea guidonia",94,"ok",2821.4126,68.780945,21.125357,1780.0616,1041.351,47.65559,223.07845,129
365,40,0,"Guarea guidonia",94,"ok",2948.2607,75.583855,21.49237,1799.6355,1148.6252,54.091484,260.8915,144
365,40,0,"Guarea guidonia",94,"ok",2997.9053,76.346924,22.565218,1847.723,1150.1823,53.781704,249.17882,128
365,40,0,"Guarea guidonia",94,"ok",2923.949,73.38191,21.712456,1820.7057,1103.2433,51.66946,251.7254,146
365,40,0,"Guarea guidonia",94,"ok",2934.574,70.62315,22.13808,1840.4674,1094.1066,48.48507,223.22878,114
366,80.4,0,"Quararibea asterolepis",94,"ok",10545.047,142.50996,52.122673,7599.4336,2945.613,90.38729,321.3713,137
366,80.4,0,"Quararibea asterolepis",94,"ok",9582.631,135.0268,49.020485,7265.859,2316.7715,86.0063,329.45288,150
366,80.4,0,"Quararibea asterolepis",94,"ok",9615.467,135.6122,49.038074,7256.3643,2359.1028,86.57412,321.52637,132
366,80.4,0,"Quararibea asterolepis",94,"ok",9946.834,134.24194,54.790905,7848.2476,2098.587,79.45104,320.44205,148
366,80.4,0,"Quararibea asterolepis",94,"ok",9823.981,128.76117,51.330986,7454.294,2369.6875,77.43018,270.15182,128
366,80.4,0,"Quararibea asterolepis",94,"ok",10045.663,141.5721,48.485287,7219.3057,2826.3574,93.086815,338.47662,128
366,80.4,0,"Quararibea asterolepis",94,"ok",9246.936,122.80603,50.838303,7387.283,1859.6522,71.96773,292.43283,136
366,80.4,0,"Quararibea asterolepis",94,"ok",9442.529,129.14827,49.098713,7244.29,2198.239,80.04956,313.33722,131
366,80.4,0,"Quararibea asterolepis",94,"ok",9200.391,120.42752,49.05181,7250.1387,1950.2521,71.37571,280.6374,124
366,80.4,0,"Quararibea asterolepis",94,"ok",10163.214,138.87617,49.670647,7305.222,2857.9917,89.20553,306.0738,124
439,68.2,100,"Hura crepitans",92,"ok",5188.349,68.30998,30.614517,3688.2805,1500.0686,37.69546,128.88618,69
439,68.2,100,"Hura crepitans",92,"ok",5214.9434,67.50223,29.7698,3691.522,1523.4213,37.73243,113.484955,52
439,68.2,100,"Hura crepitans",92,"ok",5296.1924,73.82526,30.473055,3513.081,1783.1112,43.3522,133.52399,66
439,68.2,100,"Hura crepitans",92,"ok",4987.1924,69.624146,29.751766,3412.2766,1574.9159,39.87238,124.226616,54
439,68.2,100,"Hura crepitans",92,"ok",5164.0073,71.118126,29.56049,3447.0295,1716.9779,41.557636,130.92232,57
439,68.2,100,"Hura crepitans",92,"ok",5085.3057,68.00545,30.016762,3563.1,1522.2056,37.988686,119.95839,60
439,68.2,100,"Hura crepitans",92,"ok",5079.0596,66.569145,31.849627,3719.03,1360.0298,34.719517,125.61815,66
439,68.2,100,"Hura crepitans",92,"ok",5308.857,70.30255,29.847736,3666.0452,1642.8119,40.45482,127.62505,73
439,68.2,100,"Hura crepitans",92,"ok",5066.8877,66.757935,29.87306,3667.3708,1399.5167,36.884876,131.69643,70
439,68.2,100,"Hura crepitans",92,"ok",5058.98,67.884544,30.04614,3546.7302,1512.2496,37.8384,118.252304,55
444,43.1,20,"Tetragastris panamensis",92,"ok",2643.0852,59.124413,23.532381,1931.8503,711.2349,35.59203,190.14958,97
444,43.1,20,"Tetragastris panamensis",92,"ok",2287.829,57.45939,23.419846,1565.6123,722.2167,34.039543,165.0913,80
444,43.1,20,"Tetragastris panamensis",92,"ok",2775.4795,59.089157,23.597298,2062.6626,712.81696,35.49186,187.46375,100
444,43.1,20,"Tetragastris panamensis",92,"ok",2647.4958,57.16874,23.5867,1930.4226,717.0733,33.58204,165.71165,87
444,43.1,20,"Tetragastris panamensis",92,"ok",2630.4001,56.159935,23.586945,1939.985,690.4152,32.57299,164.79272,90
444,43.1,20,"Tetragastris panamensis",92,"ok",2377.5676,57.474087,23.664001,1671.1039,706.46375,33.810085,169.39113,95
444,43.1,20,"Tetragastris panamensis",92,"ok",2719.5295,60.756897,23.756596,1948.167,771.3626,37.0003,181.67088,94
444,43.1,20,"Tetragastris panamensis",92,"ok",2011.9639,58.319218,23.536499,1274.3309,737.633,34.78272,168.42401,85
444,43.1,20,"Tetragastris panamensis",92,"ok",2652.8208,56.744087,23.627396,1938.426,714.3947,33.11669,171.02023,87
444,43.1,20,"Tetragastris panamensis",92,"ok",2660.4553,58.19947,23.537474,1929.6819,730.7734,34.661995,173.26448,83
445,50,0,"Quararibea asterolepis",92,"ok",2638.1768,41.49811,26.84069,2339.7666,298.41013,14.657422,76.60505,36
445,50,0,"Quararibea asterolepis",92,"ok",2688.243,46.585815,27.017965,2326.4382,361.80478,19.567852,96.73023,34
445,50,0,"Quararibea asterolepis",92,"ok",2816.769,47.594223,27.8412,2379.8132,436.95584,19.753021,91.32041,42
445,50,0,"Quararibea asterolepis",92,"ok",2790.3115,49.531933,27.351082,2374.3328,415.97873,22.180851,112.44897,47
445,50,0,"Quararibea asterolepis",92,"ok",2611.4053,44.1932,27.142023,2315.9856,295.41962,17.051174,90.28777,34
445,50,0,"Quararibea asterolepis",92,"ok",2729.2798,46.156967,28.034166,2403.121,326.15866,18.122803,95.1816,36
445,50,0,"Quararibea asterolepis",92,"ok",2719.6685,45.021538,27.557875,2387.6965,331.97195,17.463663,93.63009,42
445,50,0,"Quararibea asterolepis",92,"ok",2649.0527,44.81579,27.172007,2317.015,332.03793,17.643782,90.02098,40
445,50,0,"Quararibea asterolepis",92,"ok",2795.2207,46.65876,28.981853,2459.2961,335.92465,17.676905,89.73149,40
445,50,0,"Quararibea asterolepis",92,"ok",2858.6934,50.11885,29.13736,2472.6326,386.06082,20.98149,108.06796,47
449,59.5,100,"Spondias radlkoferi",92,"ok",4747.893,62.828194,30.113766,3561.56,1186.3329,32.714428,97.52796,52
449,59.5,100,"Spondias radlkoferi",92,"ok",4737.91,62.566563,31.006512,3609.431,1128.4794,31.560051,100.27367,52
449,59.5,100,"Spondias radlkoferi",92,"ok",4643.5073,57.514812,30.813648,3592.2122,1051.295,26.701164,69.60233,27
449,59.5,100,"Spondias radlkoferi",92,"ok",4573.981,55.036304,30.9909,3611.4307,962.5502,24.045404,61.573776,22
449,59.5,100,"Spondias radlkoferi",92,"ok",4805.8833,65.02461,30.954626,3596.3398,1209.5436,34.06999,108.14133,64
449,59.5,100,"Spondias radlkoferi",92,"ok",4522.0796,54.20797,31.00252,3608.6162,913.46344,23.205452,62.791584,30
449,59.5,100,"Spondias radlkoferi",92,"ok",4450.6973,53.264946,30.409578,3573.6467,877.0508,22.855366,60.94952,25
449,59.5,100,"Spondias radlkoferi",92,"ok",4923.356,66.031395,31.00458,3609.7092,1313.6467,35.026817,101.40512,48
449,59.5,100,"Spondias radlkoferi",92,"ok",4874.994,65.48979,31.50988,3628.294,1246.7001,33.979908,98.53719,54
449,59.5,100,"Spondias radlkoferi",92,"ok",4807.1816,63.30687,30.259964,3571.7676,1235.4143,33.046906,94.17561,41
507,73.8,100,"Hura crepitans",92,"ok",6787.869,92.81099,38.30387,4857.905,1929.9645,54.507122,193.66249,96
507,73.8,100,"Hura crepitans",92,"ok",6607.5454,86.149025,38.815845,4842.553,1764.9921,47.33318,164.42372,81
